qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
14,2020,18288,6069,12219,2065,estimated,-0.3205787942142573,0.0937550051001607,-0.5043386042105723,-0.1368189842179422,-0.5139419621848146,-0.1478180806478459,2.423541382412012,1.7588339435724003,Immune & inflammatory disease,0.0006277679295133,0.0507280152963619
15,2015,21776,7950,13826,1959,estimated,0.0142635878361698,0.1272328497036375,-0.2351127975829596,0.2636399732552993,-0.2604734992337508,0.2683075775995336,1.0294285859393573,1.0442171492550387,Cardiovascular medicine,0.9107392230863588,0.9710238934747412
15,2016,21392,7934,13458,2012,estimated,0.0609487440799848,0.2628438433595024,-0.4542251889046398,0.5761226770646095,-0.4645097707426757,0.6102289024747776,0.8855004375494342,0.941149212878502,Cardiovascular medicine,0.8166297009282919,0.9505531091190016
15,2017,20960,7528,13432,2145,estimated,-0.4037138243111314,0.1595438338836059,-0.716419738722999,-0.0910079098992638,-0.690164954609512,-0.0760615744923149,1.574951778905571,1.051808255354768,Cardiovascular medicine,0.0113924196978849,0.1245571220302082
15,2018,24458,7769,16689,2281,estimated,0.0082896870911101,0.2926642244056822,-0.5653321927440269,0.5819115669262471,-0.6148691488462457,0.6180686877250627,0.8431056970392319,0.8501238283187389,Cardiovascular medicine,0.9774030152378428,0.9952631405127114
15,2019,23846,7802,16044,2296,estimated,0.1919023013349255,0.209815743505654,-0.2193365559361562,0.6031411586060074,-0.2186501170945106,0.5742283504722193,0.8991765359705186,1.089399260129316,Cardiovascular medicine,0.3603895885960779,0.7238516610665888
15,2020,24311,9681,14630,2513,estimated,-0.2844078147494527,0.1029779208789376,-0.4862445396721706,-0.0825710898267349,-0.5096294536042588,-0.1030423968997521,1.8135578694338053,1.3646292429282725,Cardiovascular medicine,0.0057477878903483,0.1047374682241246
16,2015,21165,8802,12363,2986,estimated,-0.2784849820829927,0.1060831417729548,-0.4864079399579841,-0.0705620242080013,-0.502992591832259,-0.0868179826689344,1.9785763655365465,1.4976430865235206,Public health & care delivery,0.0086608830026747,0.1245571220302082
16,2016,22060,8936,13124,3173,estimated,-0.1493896721779519,0.1341486010578408,-0.41232093025132,0.113541585895416,-0.3929588424915007,0.0996176763771276,1.868425703520319,1.6091507161860974,Public health & care delivery,0.2654450994207813,0.6634361074639235
16,2017,21920,8615,13305,3269,estimated,-0.0130040464014032,0.0841970916097893,-0.1780303459565902,0.1520222531537838,-0.1733039379852968,0.1719065688548864,1.719989026221631,1.6977670103316536,Public health & care delivery,0.8772567526339959,0.9537169056447417
16,2018,24475,9603,14872,3537,estimated,0.0086300414587193,0.1150902602019056,-0.2169468685370157,0.2342069514544544,-0.1974050247400437,0.2536468544777119,1.7434051651730391,1.7585159335221077,Public health & care delivery,0.9402266583257743,0.9836926941287611
16,2019,25825,9697,16128,3708,estimated,0.000569535702125,0.1474532776739915,-0.2884388885388984,0.2895779599431485,-0.3061939046128442,0.2754211821220208,1.6241504962431554,1.625075771399997,Public health & care delivery,0.99691819252298,0.99691819252298
16,2020,30762,12868,17894,4212,estimated,-0.0866363398632092,0.1459873699707447,-0.372771585005869,0.1994989052794504,-0.3827694697769626,0.196650944159774,2.311858775823404,2.119998807025426,Public health & care delivery,0.552879416031693,0.8597150854953639
17,2015,15538,5718,9820,1958,estimated,-0.2042556909699369,0.0996632951564223,-0.3995957494765247,-0.0089156324633491,-0.401507493174644,-0.0215266088108608,1.2150495521945042,0.9905738757639342,Surgical specialties,0.0404173964245771,0.2651381205452258
17,2016,16309,6577,9732,2023,estimated,-0.2717333842412609,0.0941626657806418,-0.4562922091713189,-0.0871745593112029,-0.4489188706750338,-0.0920991688780291,1.3673679110039072,1.042012849490409,Surgical specialties,0.0039043646292444,0.0914736855994409
17,2017,15617,5557,10060,2154,estimated,-0.1778211199033514,0.0927128430982973,-0.3595382923760142,0.0038960525693113,-0.3460337456033617,-0.0079207712331339,1.302633221059144,1.0904240426636571,Surgical specialties,0.0551139012765145,0.2832319780128169
17,2018,16831,5715,11116,2313,estimated,-0.2059650770311641,0.0938873824336684,-0.3899843466011542,-0.021945807461174,-0.3888259304681017,-0.0290414253786968,1.285106146387585,1.0458984137046166,Surgical specialties,0.0282536692169833,0.2106182614356938
