analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
outcome_model_only,n_macros_cited_named31,absolute,1.5167050464094292,1.4737521207185955,-0.04295292569083364,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,n_macros_cited_named31,log_mean_ratio,1.5167050464094292,1.4737521207185955,-0.028728637436258923,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,n_macros_cited_all32,absolute,1.531573853271765,1.4882147289051122,-0.0433591243666529,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,n_macros_cited_all32,log_mean_ratio,1.531573853271765,1.4882147289051122,-0.02871863590345976,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,far_given_any_far,absolute,5.588690508792992,5.131174241470927,-0.45751626732206496,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,far_given_any_far,log_mean_ratio,5.588690508792992,5.131174241470927,-0.08541047373224879,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
outcome_model_only,intensity_vs_probability,log_ratio_contrast,12.121097183313564,11.17450340556878,-0.08131280168809898,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/decomposition/fivefold_outcome_only.csv,
ipw,n_macros_other_named31,mean_broad,1.094175619460183,0.9156199626045487,1.094175619460183,0.04364186122354973,1.0086375714620255,1.1797136674583406,1.0017889899903787,1.184163594231416,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
ipw,n_macros_other_named31,mean_specialized,1.094175619460183,0.9156199626045487,0.9156199626045487,0.050908346848503115,0.8158396027814826,1.015400322427615,0.8111898430169865,1.0098778909954051,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
ipw,n_macros_other_named31,absolute,1.094175619460183,0.9156199626045487,-0.17855565685563426,0.06440683961052177,-0.3047930624922569,-0.0523182512190116,-0.31819638185918603,-0.06356143908560175,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
ipw,n_macros_other_named31,log_mean_ratio,1.094175619460183,0.9156199626045487,-0.17815510917152058,0.0658393375829864,-0.3072002108341739,-0.04911000750886724,-0.3185451447733766,-0.06499241247742124,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
ipw,n_macros_other_named31,relative_percent,1.094175619460183,0.9156199626045487,-16.3187383889732,,-26.44966695701504,-4.792361161429259,-27.27937523467208,-6.292542657508658,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
outcome_model_only,n_macros_other_named31,mean_broad,1.0207125200165335,0.9643468973547147,1.0207125200165335,0.02929534816597397,0.9632936376112244,1.0781314024218425,0.9639556755142525,1.077185712889719,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
outcome_model_only,n_macros_other_named31,mean_specialized,1.0207125200165335,0.9643468973547147,0.9643468973547147,0.02659505191131578,0.9122205956085357,1.0164731991008935,0.911599541197048,1.0178305365823115,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
outcome_model_only,n_macros_other_named31,absolute,1.0207125200165335,0.9643468973547147,-0.056365622661818854,0.005756123506435798,-0.06764762473443302,-0.04508362058920469,-0.06780625377594555,-0.04514084973133092,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
outcome_model_only,n_macros_other_named31,log_mean_ratio,1.0207125200165335,0.9643468973547147,-0.05680512953527494,0.005245298646083648,-0.06708591488159889,-0.04652434418895099,-0.06751722040424599,-0.04719554576873935,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
outcome_model_only,n_macros_other_named31,relative_percent,1.0207125200165335,0.9643468973547147,-5.522183921179478,,-6.488514239680754,-4.545867724720405,-6.528837563458903,-4.609915192315674,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw,n_macros_other_named31,mean_broad,1.0252661675871533,0.9715587253730993,1.0252661675871533,0.03204847220491498,0.96245116206552,1.0880811731087867,0.9625920868201885,1.0892586403741007,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw,n_macros_other_named31,mean_specialized,1.0252661675871533,0.9715587253730993,0.9715587253730993,0.03035668605495627,0.912059620705385,1.0310578300408135,0.9102166466599498,1.0314324816612828,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw,n_macros_other_named31,absolute,1.0252661675871533,0.9715587253730993,-0.05370744221405405,0.01631239241570979,-0.08567973134884524,-0.02173515307926286,-0.08589135234074348,-0.02256609061861924,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw,n_macros_other_named31,log_mean_ratio,1.0252661675871533,0.9715587253730993,-0.05380581842157686,0.016256110827664063,-0.08566779564379842,-0.021943841199355302,-0.08576158685542089,-0.02156200646459634,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw,n_macros_other_named31,relative_percent,1.0252661675871533,0.9715587253730993,-5.238390177298875,,-8.21008893406772,-2.1704826607825862,-8.218697617325587,-2.133120820407503,3827491,20215,0.5024495704850124,internal/reach_followup_v5/area_estimates.csv,
aipw_modifiers,reference_entropy_quartile,bh_q,,,0.5150220060537055,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,reference_entropy_quartile,p_value,,,0.25751100302685276,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_breadth_quartile,bh_q,,,0.4640339891146753,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_breadth_quartile,p_value,,,0.09739447850136077,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_works_quartile,bh_q,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_works_quartile,p_value,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,qwen_macro,bh_q,,,0.4640339891146753,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,qwen_macro,p_value,,,0.18295021561568245,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,publication_year,bh_q,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,publication_year,p_value,,,0.6475732248022341,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_citations_quartile,bh_q,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,author_citations_quartile,p_value,,,0.5132119989071917,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,institution_citations_quartile,bh_q,,,0.4640339891146753,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,institution_citations_quartile,p_value,,,0.18561359564587013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,institution_works_quartile,bh_q,,,0.4640339891146753,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,institution_works_quartile,p_value,,,0.17320309640629425,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,team_size_quartile,bh_q,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,team_size_quartile,p_value,,,0.5899072627133082,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,journal_prestige_quartile,bh_q,,,0.6874189308279013,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
aipw_modifiers,journal_prestige_quartile,p_value,,,0.520691905097094,,,,,,3827491,20215,0.5024495704850124,internal/reach_followup_v4/modifiers/tests.csv,
within_choice_set,history_n,spearman_rho,,,-0.04068635867596675,,,,,,5872,,1.0,internal/reach_followup_v2/within_set_summary.csv,
within_choice_set,prior_prestige,spearman_rho,,,0.08339060499968273,,,,,,5872,,1.0,internal/reach_followup_v2/within_set_summary.csv,
ipw_2015,total_citations_60,absolute,6.361429720309749,4.807961716303883,-1.5534680040060045,1.0937738475133,-3.6972647451320726,0.5903287371200636,-3.815711546051464,0.6575791864479409,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+60 months)"
ipw_2015,near_60,absolute,1.902078486247127,1.5551562081108263,-0.3469222781363241,0.3233920292648133,-0.9807706554953582,0.2869260992227099,-0.993317640217834,0.2903987403105461,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+60 months)"
ipw_2015,far_60,absolute,2.619170312449795,1.9759500556875516,-0.6432202567622551,0.4269010616987777,-1.4799463376918591,0.193505824167349,-1.500392658722351,0.220260467553131,596758,11635,,internal/reach_followup_v2/time_window_review.csv,"[t0, t0+60 months)"
